Textbox15,Textbox17
"COA Notes:
",SOP 430.00 VOCs and SVOCs: 

Textbox24,Textbox76,Textbox77,Textbox84,Textbox62,Textbox9,Textbox13,Textbox37,Textbox10,Textbox4,Textbox27,WPPRResultQualifier
VOC and SVOC by GC-MS (ng/g),,,ng/g,Xylenes (m and ,F20-08,MyExposome PO 225,A200560,KPU_0307,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,2,3-Trichlorobenze",F20-08,MyExposome PO 225,A200561,ARO_0702,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,2,3-Trimethylbenze",F20-08,MyExposome PO 225,A200561,ARO_0702,,1.04,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,2,4-Trichlorobenze",F20-08,MyExposome PO 225,A200561,ARO_0702,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,2,4-Trimethylbenze",F20-08,MyExposome PO 225,A200561,ARO_0702,,5.32,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,3,5-Trimethylbenze",F20-08,MyExposome PO 225,A200561,ARO_0702,,2.02,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,3-Dichlorobenze",F20-08,MyExposome PO 225,A200561,ARO_0702,,< 0.18 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,2-Chlorotolue,F20-08,MyExposome PO 225,A200561,ARO_0702,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,4-Chlorotolue,F20-08,MyExposome PO 225,A200561,ARO_0702,,< 0.18 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Bromobenze,F20-08,MyExposome PO 225,A200561,ARO_0702,,< 0.17 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Chlorobenze,F20-08,MyExposome PO 225,A200561,ARO_0702,,< 0.21 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Cume,F20-08,MyExposome PO 225,A200561,ARO_0702,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Ethylbenze,F20-08,MyExposome PO 225,A200561,ARO_0702,,< 0.20 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Butylbenze,F20-08,MyExposome PO 225,A200561,ARO_0702,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Deca,F20-08,MyExposome PO 225,A200561,ARO_0702,,76.3,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Dodeca,F20-08,MyExposome PO 225,A200561,ARO_0702,,302,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Eicosa,F20-08,MyExposome PO 225,A200561,ARO_0702,,16100,
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Heptadeca,F20-08,MyExposome PO 225,A200561,ARO_0702,,4360,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Hexadeca,F20-08,MyExposome PO 225,A200561,ARO_0702,,3550,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Nona,F20-08,MyExposome PO 225,A200561,ARO_0702,,597,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Octadeca,F20-08,MyExposome PO 225,A200561,ARO_0702,,12100,
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Pentadeca,F20-08,MyExposome PO 225,A200561,ARO_0702,,2530,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Propylbenze,F20-08,MyExposome PO 225,A200561,ARO_0702,,< 0.18 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Tetradeca,F20-08,MyExposome PO 225,A200561,ARO_0702,,1540,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Undeca,F20-08,MyExposome PO 225,A200561,ARO_0702,,303,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,o-Dichlorobenze,F20-08,MyExposome PO 225,A200561,ARO_0702,,< 0.18 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,o-Xyle,F20-08,MyExposome PO 225,A200561,ARO_0702,,< 0.22 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,p-Dichlorobenze,F20-08,MyExposome PO 225,A200561,ARO_0702,,< 0.90 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,p-Isopropyltolue,F20-08,MyExposome PO 225,A200561,ARO_0702,,12,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,sec-Butylbenze,F20-08,MyExposome PO 225,A200561,ARO_0702,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Styre,F20-08,MyExposome PO 225,A200561,ARO_0702,,13.8,
VOC and SVOC by GC-MS (ng/g),,,ng/g,tert-Butylbenze,F20-08,MyExposome PO 225,A200561,ARO_0702,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Xylenes (m and ,F20-08,MyExposome PO 225,A200561,ARO_0702,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,2,3-Trichlorobenze",F20-08,MyExposome PO 225,A200562,ARO_1213,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,2,3-Trimethylbenze",F20-08,MyExposome PO 225,A200562,ARO_1213,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,2,4-Trichlorobenze",F20-08,MyExposome PO 225,A200562,ARO_1213,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,2,4-Trimethylbenze",F20-08,MyExposome PO 225,A200562,ARO_1213,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,3,5-Trimethylbenze",F20-08,MyExposome PO 225,A200562,ARO_1213,,< 0.18 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,3-Dichlorobenze",F20-08,MyExposome PO 225,A200562,ARO_1213,,< 0.18 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,2-Chlorotolue,F20-08,MyExposome PO 225,A200562,ARO_1213,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,4-Chlorotolue,F20-08,MyExposome PO 225,A200562,ARO_1213,,< 0.18 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Bromobenze,F20-08,MyExposome PO 225,A200562,ARO_1213,,< 0.17 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Chlorobenze,F20-08,MyExposome PO 225,A200562,ARO_1213,,< 0.21 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Cume,F20-08,MyExposome PO 225,A200562,ARO_1213,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Ethylbenze,F20-08,MyExposome PO 225,A200562,ARO_1213,,< 0.20 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Butylbenze,F20-08,MyExposome PO 225,A200562,ARO_1213,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Deca,F20-08,MyExposome PO 225,A200562,ARO_1213,,17,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Dodeca,F20-08,MyExposome PO 225,A200562,ARO_1213,,23.6,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Eicosa,F20-08,MyExposome PO 225,A200562,ARO_1213,,13000,
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Heptadeca,F20-08,MyExposome PO 225,A200562,ARO_1213,,4150,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Hexadeca,F20-08,MyExposome PO 225,A200562,ARO_1213,,2830,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Nona,F20-08,MyExposome PO 225,A200562,ARO_1213,,185,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Octadeca,F20-08,MyExposome PO 225,A200562,ARO_1213,,12000,
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Pentadeca,F20-08,MyExposome PO 225,A200562,ARO_1213,,1490,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Propylbenze,F20-08,MyExposome PO 225,A200562,ARO_1213,,< 0.18 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Tetradeca,F20-08,MyExposome PO 225,A200562,ARO_1213,,922,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Undeca,F20-08,MyExposome PO 225,A200562,ARO_1213,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,o-Dichlorobenze,F20-08,MyExposome PO 225,A200562,ARO_1213,,< 0.18 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,o-Xyle,F20-08,MyExposome PO 225,A200562,ARO_1213,,< 0.22 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,p-Dichlorobenze,F20-08,MyExposome PO 225,A200562,ARO_1213,,< 0.90 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,p-Isopropyltolue,F20-08,MyExposome PO 225,A200562,ARO_1213,,4.94,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,sec-Butylbenze,F20-08,MyExposome PO 225,A200562,ARO_1213,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Styre,F20-08,MyExposome PO 225,A200562,ARO_1213,,7.11,
VOC and SVOC by GC-MS (ng/g),,,ng/g,tert-Butylbenze,F20-08,MyExposome PO 225,A200562,ARO_1213,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Xylenes (m and ,F20-08,MyExposome PO 225,A200562,ARO_1213,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,2,3-Trichlorobenze",F20-08,MyExposome PO 225,A200563,JRI_0607,,< 0.17 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,2,3-Trimethylbenze",F20-08,MyExposome PO 225,A200563,JRI_0607,,< 0.17 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,2,4-Trichlorobenze",F20-08,MyExposome PO 225,A200563,JRI_0607,,< 0.17 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,2,4-Trimethylbenze",F20-08,MyExposome PO 225,A200563,JRI_0607,,< 0.17 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,3,5-Trimethylbenze",F20-08,MyExposome PO 225,A200563,JRI_0607,,< 0.16 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,3-Dichlorobenze",F20-08,MyExposome PO 225,A200563,JRI_0607,,< 0.16 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,2-Chlorotolue,F20-08,MyExposome PO 225,A200563,JRI_0607,,< 0.17 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,4-Chlorotolue,F20-08,MyExposome PO 225,A200563,JRI_0607,,< 0.16 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Bromobenze,F20-08,MyExposome PO 225,A200563,JRI_0607,,< 0.16 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Chlorobenze,F20-08,MyExposome PO 225,A200563,JRI_0607,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Cume,F20-08,MyExposome PO 225,A200563,JRI_0607,,< 0.17 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Ethylbenze,F20-08,MyExposome PO 225,A200563,JRI_0607,,< 0.18 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Butylbenze,F20-08,MyExposome PO 225,A200563,JRI_0607,,< 0.17 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Deca,F20-08,MyExposome PO 225,A200563,JRI_0607,,115,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Dodeca,F20-08,MyExposome PO 225,A200563,JRI_0607,,186,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Eicosa,F20-08,MyExposome PO 225,A200563,JRI_0607,,21200,
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Heptadeca,F20-08,MyExposome PO 225,A200563,JRI_0607,,7510,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Hexadeca,F20-08,MyExposome PO 225,A200563,JRI_0607,,5060,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Nona,F20-08,MyExposome PO 225,A200563,JRI_0607,,1770,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Octadeca,F20-08,MyExposome PO 225,A200563,JRI_0607,,9280,
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Pentadeca,F20-08,MyExposome PO 225,A200563,JRI_0607,,2350,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Propylbenze,F20-08,MyExposome PO 225,A200563,JRI_0607,,< 0.16 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Tetradeca,F20-08,MyExposome PO 225,A200563,JRI_0607,,1560,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Undeca,F20-08,MyExposome PO 225,A200563,JRI_0607,,< 0.17 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,o-Dichlorobenze,F20-08,MyExposome PO 225,A200563,JRI_0607,,< 0.16 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,o-Xyle,F20-08,MyExposome PO 225,A200563,JRI_0607,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,p-Dichlorobenze,F20-08,MyExposome PO 225,A200563,JRI_0607,,7.34,
VOC and SVOC by GC-MS (ng/g),,,ng/g,p-Isopropyltolue,F20-08,MyExposome PO 225,A200563,JRI_0607,,111,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,sec-Butylbenze,F20-08,MyExposome PO 225,A200563,JRI_0607,,< 0.17 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Styre,F20-08,MyExposome PO 225,A200563,JRI_0607,,10.6,
VOC and SVOC by GC-MS (ng/g),,,ng/g,tert-Butylbenze,F20-08,MyExposome PO 225,A200563,JRI_0607,,< 0.17 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Xylenes (m and ,F20-08,MyExposome PO 225,A200563,JRI_0607,,< 0.17 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,2,3-Trichlorobenze",F20-08,MyExposome PO 225,A200564,JRI_1115,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,2,3-Trimethylbenze",F20-08,MyExposome PO 225,A200564,JRI_1115,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,2,4-Trichlorobenze",F20-08,MyExposome PO 225,A200564,JRI_1115,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,2,4-Trimethylbenze",F20-08,MyExposome PO 225,A200564,JRI_1115,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,3,5-Trimethylbenze",F20-08,MyExposome PO 225,A200564,JRI_1115,,< 0.18 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,3-Dichlorobenze",F20-08,MyExposome PO 225,A200564,JRI_1115,,< 0.18 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,2-Chlorotolue,F20-08,MyExposome PO 225,A200564,JRI_1115,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,4-Chlorotolue,F20-08,MyExposome PO 225,A200564,JRI_1115,,< 0.18 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Bromobenze,F20-08,MyExposome PO 225,A200564,JRI_1115,,< 0.17 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Chlorobenze,F20-08,MyExposome PO 225,A200564,JRI_1115,,< 0.21 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Cume,F20-08,MyExposome PO 225,A200564,JRI_1115,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Ethylbenze,F20-08,MyExposome PO 225,A200564,JRI_1115,,< 0.20 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Butylbenze,F20-08,MyExposome PO 225,A200564,JRI_1115,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Deca,F20-08,MyExposome PO 225,A200564,JRI_1115,,68,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Dodeca,F20-08,MyExposome PO 225,A200564,JRI_1115,,137,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Eicosa,F20-08,MyExposome PO 225,A200564,JRI_1115,,13500,
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Heptadeca,F20-08,MyExposome PO 225,A200564,JRI_1115,,4340,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Hexadeca,F20-08,MyExposome PO 225,A200564,JRI_1115,,2860,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Nona,F20-08,MyExposome PO 225,A200564,JRI_1115,,1020,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Octadeca,F20-08,MyExposome PO 225,A200564,JRI_1115,,6430,
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Pentadeca,F20-08,MyExposome PO 225,A200564,JRI_1115,,1230,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Propylbenze,F20-08,MyExposome PO 225,A200564,JRI_1115,,< 0.18 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Tetradeca,F20-08,MyExposome PO 225,A200564,JRI_1115,,1040,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Undeca,F20-08,MyExposome PO 225,A200564,JRI_1115,,223,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,o-Dichlorobenze,F20-08,MyExposome PO 225,A200564,JRI_1115,,< 0.18 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,o-Xyle,F20-08,MyExposome PO 225,A200564,JRI_1115,,< 0.22 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,p-Dichlorobenze,F20-08,MyExposome PO 225,A200564,JRI_1115,,< 0.90 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,p-Isopropyltolue,F20-08,MyExposome PO 225,A200564,JRI_1115,,27.3,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,sec-Butylbenze,F20-08,MyExposome PO 225,A200564,JRI_1115,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Styre,F20-08,MyExposome PO 225,A200564,JRI_1115,,9.26,
VOC and SVOC by GC-MS (ng/g),,,ng/g,tert-Butylbenze,F20-08,MyExposome PO 225,A200564,JRI_1115,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Xylenes (m and ,F20-08,MyExposome PO 225,A200564,JRI_1115,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,2,3-Trichlorobenze",F20-08,MyExposome PO 225,A200565,KDA_0820,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,2,3-Trimethylbenze",F20-08,MyExposome PO 225,A200565,KDA_0820,,0.42,JB
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,2,4-Trichlorobenze",F20-08,MyExposome PO 225,A200565,KDA_0820,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,2,4-Trimethylbenze",F20-08,MyExposome PO 225,A200565,KDA_0820,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,3,5-Trimethylbenze",F20-08,MyExposome PO 225,A200565,KDA_0820,,< 0.18 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,3-Dichlorobenze",F20-08,MyExposome PO 225,A200565,KDA_0820,,< 0.18 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,2-Chlorotolue,F20-08,MyExposome PO 225,A200565,KDA_0820,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,4-Chlorotolue,F20-08,MyExposome PO 225,A200565,KDA_0820,,< 0.18 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Bromobenze,F20-08,MyExposome PO 225,A200565,KDA_0820,,< 0.17 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Chlorobenze,F20-08,MyExposome PO 225,A200565,KDA_0820,,< 0.21 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Cume,F20-08,MyExposome PO 225,A200565,KDA_0820,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Ethylbenze,F20-08,MyExposome PO 225,A200565,KDA_0820,,< 0.20 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Butylbenze,F20-08,MyExposome PO 225,A200565,KDA_0820,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Deca,F20-08,MyExposome PO 225,A200565,KDA_0820,,44.1,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Dodeca,F20-08,MyExposome PO 225,A200565,KDA_0820,,77.6,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Eicosa,F20-08,MyExposome PO 225,A200565,KDA_0820,,34800,J
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Heptadeca,F20-08,MyExposome PO 225,A200565,KDA_0820,,6540,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Hexadeca,F20-08,MyExposome PO 225,A200565,KDA_0820,,4610,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Nona,F20-08,MyExposome PO 225,A200565,KDA_0820,,398,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Octadeca,F20-08,MyExposome PO 225,A200565,KDA_0820,,11900,
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Pentadeca,F20-08,MyExposome PO 225,A200565,KDA_0820,,3940,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Propylbenze,F20-08,MyExposome PO 225,A200565,KDA_0820,,< 0.18 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Tetradeca,F20-08,MyExposome PO 225,A200565,KDA_0820,,2480,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Undeca,F20-08,MyExposome PO 225,A200565,KDA_0820,,276,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,o-Dichlorobenze,F20-08,MyExposome PO 225,A200565,KDA_0820,,< 0.18 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,o-Xyle,F20-08,MyExposome PO 225,A200565,KDA_0820,,< 0.22 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,p-Dichlorobenze,F20-08,MyExposome PO 225,A200565,KDA_0820,,8.24,
VOC and SVOC by GC-MS (ng/g),,,ng/g,p-Isopropyltolue,F20-08,MyExposome PO 225,A200565,KDA_0820,,13.6,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,sec-Butylbenze,F20-08,MyExposome PO 225,A200565,KDA_0820,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Styre,F20-08,MyExposome PO 225,A200565,KDA_0820,,13.1,
VOC and SVOC by GC-MS (ng/g),,,ng/g,tert-Butylbenze,F20-08,MyExposome PO 225,A200565,KDA_0820,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Xylenes (m and ,F20-08,MyExposome PO 225,A200565,KDA_0820,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,2,3-Trichlorobenze",F20-08,MyExposome PO 225,A200566,DCA_0726,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,2,3-Trimethylbenze",F20-08,MyExposome PO 225,A200566,DCA_0726,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,2,4-Trichlorobenze",F20-08,MyExposome PO 225,A200566,DCA_0726,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,2,4-Trimethylbenze",F20-08,MyExposome PO 225,A200566,DCA_0726,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,3,5-Trimethylbenze",F20-08,MyExposome PO 225,A200566,DCA_0726,,< 0.18 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,3-Dichlorobenze",F20-08,MyExposome PO 225,A200566,DCA_0726,,< 0.18 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,2-Chlorotolue,F20-08,MyExposome PO 225,A200566,DCA_0726,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,4-Chlorotolue,F20-08,MyExposome PO 225,A200566,DCA_0726,,< 0.18 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Bromobenze,F20-08,MyExposome PO 225,A200566,DCA_0726,,< 0.17 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Chlorobenze,F20-08,MyExposome PO 225,A200566,DCA_0726,,< 0.21 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Cume,F20-08,MyExposome PO 225,A200566,DCA_0726,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Ethylbenze,F20-08,MyExposome PO 225,A200566,DCA_0726,,< 0.20 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Butylbenze,F20-08,MyExposome PO 225,A200566,DCA_0726,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Deca,F20-08,MyExposome PO 225,A200566,DCA_0726,,46.5,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Dodeca,F20-08,MyExposome PO 225,A200566,DCA_0726,,70.2,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Eicosa,F20-08,MyExposome PO 225,A200566,DCA_0726,,0.22,J
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Heptadeca,F20-08,MyExposome PO 225,A200566,DCA_0726,,9600,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Hexadeca,F20-08,MyExposome PO 225,A200566,DCA_0726,,3200,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Nona,F20-08,MyExposome PO 225,A200566,DCA_0726,,658,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Octadeca,F20-08,MyExposome PO 225,A200566,DCA_0726,,< 0.22 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Pentadeca,F20-08,MyExposome PO 225,A200566,DCA_0726,,2340,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Propylbenze,F20-08,MyExposome PO 225,A200566,DCA_0726,,< 0.18 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Tetradeca,F20-08,MyExposome PO 225,A200566,DCA_0726,,1640,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Undeca,F20-08,MyExposome PO 225,A200566,DCA_0726,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,o-Dichlorobenze,F20-08,MyExposome PO 225,A200566,DCA_0726,,< 0.18 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,o-Xyle,F20-08,MyExposome PO 225,A200566,DCA_0726,,< 0.22 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,p-Dichlorobenze,F20-08,MyExposome PO 225,A200566,DCA_0726,,< 0.90 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,p-Isopropyltolue,F20-08,MyExposome PO 225,A200566,DCA_0726,,61.9,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,sec-Butylbenze,F20-08,MyExposome PO 225,A200566,DCA_0726,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Styre,F20-08,MyExposome PO 225,A200566,DCA_0726,,10.9,
VOC and SVOC by GC-MS (ng/g),,,ng/g,tert-Butylbenze,F20-08,MyExposome PO 225,A200566,DCA_0726,,124,
VOC and SVOC by GC-MS (ng/g),,,ng/g,Xylenes (m and ,F20-08,MyExposome PO 225,A200566,DCA_0726,,< 0.19 U,U
