Textbox15,Textbox17
"COA Notes:
",SOP 430.00 VOCs and SVOCs: 

Textbox24,Textbox76,Textbox77,Textbox84,Textbox62,Textbox9,Textbox13,Textbox37,Textbox10,Textbox4,Textbox27,WPPRResultQualifier
VOC and SVOC by GC-MS (ng/g),,,ng/g,Cume,F20-08,MyExposome PO 225,A200556,KDA_1118,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Ethylbenze,F20-08,MyExposome PO 225,A200556,KDA_1118,,< 0.20 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Butylbenze,F20-08,MyExposome PO 225,A200556,KDA_1118,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Deca,F20-08,MyExposome PO 225,A200556,KDA_1118,,61.4,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Dodeca,F20-08,MyExposome PO 225,A200556,KDA_1118,,60.6,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Eicosa,F20-08,MyExposome PO 225,A200556,KDA_1118,,33200,
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Heptadeca,F20-08,MyExposome PO 225,A200556,KDA_1118,,20200,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Hexadeca,F20-08,MyExposome PO 225,A200556,KDA_1118,,6840,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Nona,F20-08,MyExposome PO 225,A200556,KDA_1118,,273,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Octadeca,F20-08,MyExposome PO 225,A200556,KDA_1118,,40700,J
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Pentadeca,F20-08,MyExposome PO 225,A200556,KDA_1118,,3650,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Propylbenze,F20-08,MyExposome PO 225,A200556,KDA_1118,,< 0.18 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Tetradeca,F20-08,MyExposome PO 225,A200556,KDA_1118,,1590,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Undeca,F20-08,MyExposome PO 225,A200556,KDA_1118,,244,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,o-Dichlorobenze,F20-08,MyExposome PO 225,A200556,KDA_1118,,< 0.18 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,o-Xyle,F20-08,MyExposome PO 225,A200556,KDA_1118,,< 0.22 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,p-Dichlorobenze,F20-08,MyExposome PO 225,A200556,KDA_1118,,8.61,
VOC and SVOC by GC-MS (ng/g),,,ng/g,p-Isopropyltolue,F20-08,MyExposome PO 225,A200556,KDA_1118,,8,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,sec-Butylbenze,F20-08,MyExposome PO 225,A200556,KDA_1118,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Styre,F20-08,MyExposome PO 225,A200556,KDA_1118,,17.4,
VOC and SVOC by GC-MS (ng/g),,,ng/g,tert-Butylbenze,F20-08,MyExposome PO 225,A200556,KDA_1118,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Xylenes (m and ,F20-08,MyExposome PO 225,A200556,KDA_1118,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,2,3-Trichlorobenze",F20-08,MyExposome PO 225,A200557,KPU_0816,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,2,3-Trimethylbenze",F20-08,MyExposome PO 225,A200557,KPU_0816,,0.58,JB
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,2,4-Trichlorobenze",F20-08,MyExposome PO 225,A200557,KPU_0816,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,2,4-Trimethylbenze",F20-08,MyExposome PO 225,A200557,KPU_0816,,4.52,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,3,5-Trimethylbenze",F20-08,MyExposome PO 225,A200557,KPU_0816,,1.54,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,3-Dichlorobenze",F20-08,MyExposome PO 225,A200557,KPU_0816,,< 0.18 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,2-Chlorotolue,F20-08,MyExposome PO 225,A200557,KPU_0816,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,4-Chlorotolue,F20-08,MyExposome PO 225,A200557,KPU_0816,,< 0.18 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Bromobenze,F20-08,MyExposome PO 225,A200557,KPU_0816,,< 0.17 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Chlorobenze,F20-08,MyExposome PO 225,A200557,KPU_0816,,< 0.21 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Cume,F20-08,MyExposome PO 225,A200557,KPU_0816,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Ethylbenze,F20-08,MyExposome PO 225,A200557,KPU_0816,,< 0.20 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Butylbenze,F20-08,MyExposome PO 225,A200557,KPU_0816,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Deca,F20-08,MyExposome PO 225,A200557,KPU_0816,,63.5,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Dodeca,F20-08,MyExposome PO 225,A200557,KPU_0816,,57.4,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Eicosa,F20-08,MyExposome PO 225,A200557,KPU_0816,,19000,
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Heptadeca,F20-08,MyExposome PO 225,A200557,KPU_0816,,5960,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Hexadeca,F20-08,MyExposome PO 225,A200557,KPU_0816,,4450,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Nona,F20-08,MyExposome PO 225,A200557,KPU_0816,,467,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Octadeca,F20-08,MyExposome PO 225,A200557,KPU_0816,,6880,
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Pentadeca,F20-08,MyExposome PO 225,A200557,KPU_0816,,2420,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Propylbenze,F20-08,MyExposome PO 225,A200557,KPU_0816,,< 0.18 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Tetradeca,F20-08,MyExposome PO 225,A200557,KPU_0816,,1310,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Undeca,F20-08,MyExposome PO 225,A200557,KPU_0816,,168,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,o-Dichlorobenze,F20-08,MyExposome PO 225,A200557,KPU_0816,,< 0.18 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,o-Xyle,F20-08,MyExposome PO 225,A200557,KPU_0816,,< 0.22 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,p-Dichlorobenze,F20-08,MyExposome PO 225,A200557,KPU_0816,,799,
VOC and SVOC by GC-MS (ng/g),,,ng/g,p-Isopropyltolue,F20-08,MyExposome PO 225,A200557,KPU_0816,,7.5,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,sec-Butylbenze,F20-08,MyExposome PO 225,A200557,KPU_0816,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Styre,F20-08,MyExposome PO 225,A200557,KPU_0816,,13.9,
VOC and SVOC by GC-MS (ng/g),,,ng/g,tert-Butylbenze,F20-08,MyExposome PO 225,A200557,KPU_0816,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Xylenes (m and ,F20-08,MyExposome PO 225,A200557,KPU_0816,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,2,3-Trichlorobenze",F20-08,MyExposome PO 225,A200558,DDA_0823,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,2,3-Trimethylbenze",F20-08,MyExposome PO 225,A200558,DDA_0823,,0.21,JB
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,2,4-Trichlorobenze",F20-08,MyExposome PO 225,A200558,DDA_0823,,8.95,
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,2,4-Trimethylbenze",F20-08,MyExposome PO 225,A200558,DDA_0823,,4.25,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,3,5-Trimethylbenze",F20-08,MyExposome PO 225,A200558,DDA_0823,,1.46,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,3-Dichlorobenze",F20-08,MyExposome PO 225,A200558,DDA_0823,,< 0.18 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,2-Chlorotolue,F20-08,MyExposome PO 225,A200558,DDA_0823,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,4-Chlorotolue,F20-08,MyExposome PO 225,A200558,DDA_0823,,< 0.18 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Bromobenze,F20-08,MyExposome PO 225,A200558,DDA_0823,,< 0.17 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Chlorobenze,F20-08,MyExposome PO 225,A200558,DDA_0823,,3.09,
VOC and SVOC by GC-MS (ng/g),,,ng/g,Cume,F20-08,MyExposome PO 225,A200558,DDA_0823,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Ethylbenze,F20-08,MyExposome PO 225,A200558,DDA_0823,,2.12,
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Butylbenze,F20-08,MyExposome PO 225,A200558,DDA_0823,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Deca,F20-08,MyExposome PO 225,A200558,DDA_0823,,131,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Dodeca,F20-08,MyExposome PO 225,A200558,DDA_0823,,65.4,B
