"Chemical","CASRN","W10","W12","W13","W14","W15","W16","W17","W18","W19","W20","W21","W22","W23","W24","W25","W26","W5"
"Pyrene","129-00-0",87.4,198,43.7,24.4,25.7,33.4,61.7,208,152,56.6,90,68.7,43.7,72,79.7,12.1,41.1
"Quinoline","91-22-5",0,0,0,0,0,0,0,0,24.2,0,0,0,0,0,0,0,0
"Retene","483-65-8",0,0,0,0,0,0,0.514,0,0,0,0,0,0,8.48,0,0,0
"TCPP","26248-87-3",0,0,0,0,0,0,0,0,0,0,0,52.5,0,0,72,0,0
"Thymol","89-83-8",0,0,0,0,25.7,0,0,0,0,0,0,0,0,0,0,0,0
"Tonalide","1506-02-1",2340,746,36,463,283,175,1050,386,444,90,208,137,141,540,203,129,3090
"TPP","115-86-6",136,144,74.6,249,134,116,386,97.7,505,162,283,127,79.7,111,283,309,249
"Tributyl phosphate","126-73-8",0,0,0,0,0,0,0,33.4,0,0,0,0,0,0,0,0,0
"Triclosan","3380-34-5",129,0,0,0,0,0,0,0,0,100,0,0,23.1,0,0,18.8,0
"Triphenylene","217-59-4",0,0,0,0,0,0,0,0,1.62,0,0,0,0,0,0,0,0
