"SampleNumber","ParameterName","Result"
"A241221","Benzophenone",53.1
"A241222","Benzophenone",42
"A241224","Benzophenone",27.8
"A241229","Benzophenone",99.8
"A241230","Benzophenone",117
"A241235","Benzophenone",27.4
"A241236","Benzophenone",19.1
"A241238","Benzophenone",32.8
"A241241","Benzophenone",14.3
"A241246","Benzophenone",37.3
"A241248","Benzophenone",42.9
"A241250","Benzophenone",29
"A241253","Benzophenone",73.3
"A241259","Benzophenone",64.5
"A241260","Benzophenone",92.8
"A241263","Benzophenone",223
"A241264","Benzophenone",102
"A241266","Benzophenone",30.7
"A241269","Benzophenone",25.2
"A241270","Benzophenone",72.2
"A241273","Benzophenone",92.3
"A241246","Pyrimethanil",33.6
"A241142","Piperonyl butoxide",53.2
"A241259","Piperonyl butoxide",2090
"A241147","Triethyl phosphate",44.8
"A241151","Triethyl phosphate",152
"A241166","Triethyl phosphate",8.62
"A241168","Triethyl phosphate",8.35
"A241173","Triethyl phosphate",13.7
"A241181","Triethyl phosphate",12.9
"A241192","Triethyl phosphate",39.7
"A241219","Triethyl phosphate",14.1
"A241149","Carvone",40.4
"A241177","Carvone",14.3
"A241205","Thymol",13.5
"A241156","Phthalimide",16.7
"A241140","Cashmeran",51.9
"A241201","Cashmeran",33.9
"A241144","TCEP",542
"A241164","TCEP",89.6
"A241260","TCEP",11.6
"A241134","Benzyl benzoate",114
"A241137","Benzyl benzoate",124
"A241139","Benzyl benzoate",113
"A241140","Benzyl benzoate",4740
"A241142","Benzyl benzoate",67.9
"A241144","Benzyl benzoate",1570
"A241147","Benzyl benzoate",92.8
"A241149","Benzyl benzoate",126
"A241151","Benzyl benzoate",739
"A241153","Benzyl benzoate",342
"A241155","Benzyl benzoate",1900
"A241156","Benzyl benzoate",1150
"A241158","Benzyl benzoate",106
"A241161","Benzyl benzoate",525
"A241163","Benzyl benzoate",159
"A241164","Benzyl benzoate",999
"A241166","Benzyl benzoate",156
"A241168","Benzyl benzoate",117
"A241170","Benzyl benzoate",9030
"A241173","Benzyl benzoate",57.5
"A241175","Benzyl benzoate",40.6
"A241177","Benzyl benzoate",24.8
"A241179","Benzyl benzoate",21.2
"A241181","Benzyl benzoate",137
"A241182","Benzyl benzoate",523
"A241184","Benzyl benzoate",775
"A241186","Benzyl benzoate",674
"A241191","Benzyl benzoate",2710
"A241192","Benzyl benzoate",1570
"A241194","Benzyl benzoate",611
"A241196","Benzyl benzoate",1350
"A241203","Benzyl benzoate",539
"A241205","Benzyl benzoate",109
"A241207","Benzyl benzoate",343
"A241209","Benzyl benzoate",1800
"A241211","Benzyl benzoate",164
"A241213","Benzyl benzoate",497
"A241215","Benzyl benzoate",189
"A241217","Benzyl benzoate",6300
"A241219","Benzyl benzoate",3670
"A241221","Benzyl benzoate",44.3
"A241222","Benzyl benzoate",110
"A241229","Benzyl benzoate",239
"A241230","Benzyl benzoate",970
"A241232","Benzyl benzoate",2710
"A241235","Benzyl benzoate",822
"A241236","Benzyl benzoate",60.2
"A241238","Benzyl benzoate",246
"A241246","Benzyl benzoate",132
"A241248","Benzyl benzoate",138
"A241250","Benzyl benzoate",22.6
"A241253","Benzyl benzoate",23.2
"A241259","Benzyl benzoate",8160
"A241260","Benzyl benzoate",464
"A241263","Benzyl benzoate",4290
"A241264","Benzyl benzoate",221
"A241266","Benzyl benzoate",130
"A241269","Benzyl benzoate",87.6
"A241270","Benzyl benzoate",81.3
"A241273","Benzyl benzoate",235
"A241144","Exaltolide [15-Pentadecanolide]",1120
"A241186","Exaltolide [15-Pentadecanolide]",1560
"A241188","Exaltolide [15-Pentadecanolide]",289
"A241196","Exaltolide [15-Pentadecanolide]",1350
"A241217","Exaltolide [15-Pentadecanolide]",3850
"A241134","Caffeine",367
"A241139","Caffeine",1270
"A241140","Caffeine",163
"A241144","Caffeine",813
"A241149","Caffeine",151
"A241151","Caffeine",280
"A241155","Caffeine",55.3
"A241156","Caffeine",1310
"A241161","Caffeine",159
"A241164","Caffeine",165
"A241166","Caffeine",162
"A241168","Caffeine",113
"A241173","Caffeine",226
"A241175","Caffeine",1380
"A241179","Caffeine",386
"A241181","Caffeine",247
"A241182","Caffeine",523
"A241184","Caffeine",620
"A241192","Caffeine",777
"A241196","Caffeine",3280
"A241201","Caffeine",373
"A241203","Caffeine",420
"A241207","Caffeine",1730
"A241209","Caffeine",654
"A241211","Caffeine",123
"A241213","Caffeine",361
"A241217","Caffeine",192
"A241219","Caffeine",232
"A241221","Caffeine",166
"A241222","Caffeine",245
"A241224","Caffeine",152
"A241230","Caffeine",257
"A241232","Caffeine",203
"A241235","Caffeine",2580
"A241236","Caffeine",838
"A241241","Caffeine",461
"A241242","Caffeine",305
"A241245","Caffeine",67.4
"A241248","Caffeine",332
"A241250","Caffeine",274
"A241253","Caffeine",482
"A241254","Caffeine",280
"A241256","Caffeine",52.8
"A241259","Caffeine",341
"A241264","Caffeine",102
"A241266","Caffeine",939
"A241269","Caffeine",861
"A241270","Caffeine",271
"A241273","Caffeine",107
"A241133","Diisobutyl phthalate",192
"A241134","Diisobutyl phthalate",127
"A241139","Diisobutyl phthalate",627
"A241140","Diisobutyl phthalate",2010
"A241144","Diisobutyl phthalate",1440
"A241147","Diisobutyl phthalate",130
"A241149","Diisobutyl phthalate",120
"A241151","Diisobutyl phthalate",539
"A241153","Diisobutyl phthalate",213
"A241155","Diisobutyl phthalate",398
"A241156","Diisobutyl phthalate",519
"A241158","Diisobutyl phthalate",42
"A241161","Diisobutyl phthalate",334
"A241164","Diisobutyl phthalate",241
"A241166","Diisobutyl phthalate",115
"A241168","Diisobutyl phthalate",316
"A241170","Diisobutyl phthalate",135
"A241173","Diisobutyl phthalate",369
"A241177","Diisobutyl phthalate",143
"A241179","Diisobutyl phthalate",617
"A241181","Diisobutyl phthalate",228
"A241182","Diisobutyl phthalate",418
"A241186","Diisobutyl phthalate",2350
"A241188","Diisobutyl phthalate",415
"A241191","Diisobutyl phthalate",117
"A241192","Diisobutyl phthalate",271
"A241194","Diisobutyl phthalate",475
"A241196","Diisobutyl phthalate",907
"A241198","Diisobutyl phthalate",339
"A241201","Diisobutyl phthalate",933
"A241203","Diisobutyl phthalate",679
"A241207","Diisobutyl phthalate",361
"A241209","Diisobutyl phthalate",1800
"A241211","Diisobutyl phthalate",85.1
"A241213","Diisobutyl phthalate",1400
"A241215","Diisobutyl phthalate",98.5
"A241217","Diisobutyl phthalate",262
"A241219","Diisobutyl phthalate",1850
"A241221","Diisobutyl phthalate",206
"A241222","Diisobutyl phthalate",175
"A241224","Diisobutyl phthalate",425
"A241229","Diisobutyl phthalate",673
"A241230","Diisobutyl phthalate",1250
"A241232","Diisobutyl phthalate",361
"A241235","Diisobutyl phthalate",484
"A241236","Diisobutyl phthalate",516
"A241238","Diisobutyl phthalate",115
"A241241","Diisobutyl phthalate",530
"A241242","Diisobutyl phthalate",651
"A241245","Diisobutyl phthalate",98.2
"A241246","Diisobutyl phthalate",6720
"A241248","Diisobutyl phthalate",2770
"A241250","Diisobutyl phthalate",371
"A241253","Diisobutyl phthalate",270
"A241254","Diisobutyl phthalate",499
"A241256","Diisobutyl phthalate",104
"A241259","Diisobutyl phthalate",967
"A241260","Diisobutyl phthalate",1700
"A241263","Diisobutyl phthalate",477
"A241264","Diisobutyl phthalate",1560
"A241266","Diisobutyl phthalate",704
"A241269","Diisobutyl phthalate",123
"A241270","Diisobutyl phthalate",187
"A241273","Diisobutyl phthalate",322
"A241139","Tonalide",0.63
"A241140","Tonalide",92.6
"A241144","Tonalide",61.4
"A241149","Tonalide",1.13
"A241156","Tonalide",72.2
"A241161","Tonalide",191
"A241164","Tonalide",6.55
"A241166","Tonalide",36.9
"A241181","Tonalide",1.14
"A241182","Tonalide",46
"A241186","Tonalide",23.5
"A241188","Tonalide",3.43
"A241192","Tonalide",28.9
"A241196","Tonalide",27
"A241201","Tonalide",56
"A241209","Tonalide",83.4
"A241215","Tonalide",30.8
"A241219","Tonalide",17
"A241221","Tonalide",35.4
"A241222","Tonalide",21
"A241229","Tonalide",202
"A241230","Tonalide",37.6
"A241232","Tonalide",316
"A241235","Tonalide",25.8
"A241238","Tonalide",101
"A241248","Tonalide",8.31
"A241259","Tonalide",4170
"A241260","Tonalide",13.9
"A241263","Tonalide",254
"A241264","Tonalide",9.33
"A241266","Tonalide",1.99
"A241269","Tonalide",17.8
"A241273","Tonalide",2.05
"A241192","Triclosan",25.3
"A241133","Di-n-hexyl phthalate",406
"A241149","Tris(2-butoxyethyl) phosphate",60.5
"A241155","Tris(2-butoxyethyl) phosphate",1080
"A241196","Tris(2-butoxyethyl) phosphate",617
"A241232","Tris(2-butoxyethyl) phosphate",1990
"A241238","Tris(2-butoxyethyl) phosphate",287
"A241246","Tris(2-butoxyethyl) phosphate",280
"A241264","Tris(2-butoxyethyl) phosphate",356
"A241273","Tris(2-butoxyethyl) phosphate",161
"A241232","Tricresylphosphate, meta-",22.1
"A241232","Ethofenprox",316
"A241149","Di-n-nonyl phthalate",44.1
"A241153","Di-n-nonyl phthalate",38.9
"A241161","Di-n-nonyl phthalate",270
"A241164","Di-n-nonyl phthalate",103
"A241170","Di-n-nonyl phthalate",27.1
"A241182","Di-n-nonyl phthalate",502
"A241184","Di-n-nonyl phthalate",1330
"A241186","Di-n-nonyl phthalate",283
"A241196","Di-n-nonyl phthalate",347
"A241217","Di-n-nonyl phthalate",138
"A241236","Di-n-nonyl phthalate",101
"A241241","Di-n-nonyl phthalate",71.4
"A241253","Di-n-nonyl phthalate",100
"A241254","Di-n-nonyl phthalate",36
"A241266","Di-n-nonyl phthalate",181
"A241270","Di-n-nonyl phthalate",214
"A241273","Di-n-nonyl phthalate",54.2
"A241151","Methoprene II",1300
"A241149","Permethrin II",74.4
"A241186","Permethrin II",27.4
"A241188","Permethrin II",75.8
"A241229","Permethrin II",23.9
"A241246","Permethrin II",41
"A241250","Permethrin II",66.1
"A241273","Cyfluthrin II",144
"A241133","TCPP",45.1
"A241134","TCPP",44
"A241140","TCPP",133
"A241142","TCPP",73.4
"A241144","TCPP",199
"A241147","TCPP",94.3
"A241153","TCPP",90.7
"A241155","TCPP",443
"A241158","TCPP",49.9
"A241161","TCPP",223
"A241164","TCPP",172
"A241168","TCPP",58.7
"A241173","TCPP",677
"A241177","TCPP",50.4
"A241181","TCPP",34.1
"A241186","TCPP",53.7
"A241188","TCPP",47
"A241192","TCPP",307
"A241203","TCPP",240
"A241207","TCPP",54.2
"A241217","TCPP",152
"A241219","TCPP",133
"A241221","TCPP",175
"A241222","TCPP",45.5
"A241229","TCPP",52.1
"A241230","TCPP",105
"A241232","TCPP",183
"A241235","TCPP",24.2
"A241236","TCPP",94.6
"A241246","TCPP",20.5
"A241250","TCPP",108
"A241253","TCPP",170
"A241254","TCPP",28
"A241259","TCPP",112
"A241260","TCPP",77.3
"A241264","TCPP",134
"A241269","TCPP",25.2
"A241273","TCPP",74.8
"A241198","4-Chlorophenol",27.1
"A241219","4-Chlorophenol",11.4
"A241134","Galaxolide",51.4
"A241137","Galaxolide",108
"A241139","Galaxolide",23
"A241140","Galaxolide",1150
"A241142","Galaxolide",844
"A241144","Galaxolide",217
"A241147","Galaxolide",29.4
"A241149","Galaxolide",65.6
"A241151","Galaxolide",188
"A241155","Galaxolide",175
"A241156","Galaxolide",406
"A241158","Galaxolide",28
"A241161","Galaxolide",636
"A241163","Galaxolide",86.6
"A241164","Galaxolide",1720
"A241166","Galaxolide",205
"A241168","Galaxolide",208
"A241173","Galaxolide",51.3
"A241179","Galaxolide",12.7
"A241181","Galaxolide",190
"A241182","Galaxolide",5430
"A241184","Galaxolide",1110
"A241186","Galaxolide",244
"A241188","Galaxolide",623
"A241191","Galaxolide",722
"A241192","Galaxolide",175
"A241194","Galaxolide",1050
"A241196","Galaxolide",598
"A241198","Galaxolide",3160
"A241201","Galaxolide",4070
"A241203","Galaxolide",136
"A241205","Galaxolide",243
"A241207","Galaxolide",161
"A241209","Galaxolide",262
"A241211","Galaxolide",88.3
"A241213","Galaxolide",1060
"A241215","Galaxolide",205
"A241217","Galaxolide",7000
"A241219","Galaxolide",102
"A241221","Galaxolide",952
"A241222","Galaxolide",33.2
"A241224","Galaxolide",474
"A241229","Galaxolide",586
"A241230","Galaxolide",238
"A241232","Galaxolide",1260
"A241235","Galaxolide",1000
"A241236","Galaxolide",36.5
"A241238","Galaxolide",1350
"A241242","Galaxolide",80.3
"A241246","Galaxolide",33.6
"A241248","Galaxolide",138
"A241253","Galaxolide",21.2
"A241259","Galaxolide",10600
"A241260","Galaxolide",263
"A241263","Galaxolide",10000
"A241264","Galaxolide",170
"A241266","Galaxolide",163
"A241269","Galaxolide",135
"A241273","Galaxolide",220
"A241133","Ethylene brassylate (Musk NN)",196
"A241137","Ethylene brassylate (Musk NN)",124
"A241139","Ethylene brassylate (Musk NN)",1440
"A241142","Ethylene brassylate (Musk NN)",1600
"A241144","Ethylene brassylate (Musk NN)",939
"A241156","Ethylene brassylate (Musk NN)",1630
"A241161","Ethylene brassylate (Musk NN)",2230
"A241163","Ethylene brassylate (Musk NN)",464
"A241164","Ethylene brassylate (Musk NN)",81
"A241166","Ethylene brassylate (Musk NN)",92.3
"A241173","Ethylene brassylate (Musk NN)",49.3
"A241181","Ethylene brassylate (Musk NN)",531
"A241182","Ethylene brassylate (Musk NN)",2510
"A241184","Ethylene brassylate (Musk NN)",2430
"A241188","Ethylene brassylate (Musk NN)",199
"A241191","Ethylene brassylate (Musk NN)",993
"A241192","Ethylene brassylate (Musk NN)",289
"A241194","Ethylene brassylate (Musk NN)",272
"A241196","Ethylene brassylate (Musk NN)",656
"A241198","Ethylene brassylate (Musk NN)",519
"A241201","Ethylene brassylate (Musk NN)",33900
"A241203","Ethylene brassylate (Musk NN)",260
"A241205","Ethylene brassylate (Musk NN)",1080
"A241207","Ethylene brassylate (Musk NN)",1160
"A241213","Ethylene brassylate (Musk NN)",700
"A241215","Ethylene brassylate (Musk NN)",6570
"A241217","Ethylene brassylate (Musk NN)",131000
"A241219","Ethylene brassylate (Musk NN)",106
"A241224","Ethylene brassylate (Musk NN)",4580
"A241229","Ethylene brassylate (Musk NN)",260
"A241230","Ethylene brassylate (Musk NN)",143
"A241232","Ethylene brassylate (Musk NN)",519
"A241235","Ethylene brassylate (Musk NN)",8870
"A241236","Ethylene brassylate (Musk NN)",774
"A241238","Ethylene brassylate (Musk NN)",1760
"A241242","Ethylene brassylate (Musk NN)",845
"A241245","Ethylene brassylate (Musk NN)",22
"A241246","Ethylene brassylate (Musk NN)",35.4
"A241248","Ethylene brassylate (Musk NN)",623
"A241259","Ethylene brassylate (Musk NN)",4170
"A241260","Ethylene brassylate (Musk NN)",371
"A241263","Ethylene brassylate (Musk NN)",2540
"A241264","Ethylene brassylate (Musk NN)",458
"A241266","Ethylene brassylate (Musk NN)",139
"A241269","Ethylene brassylate (Musk NN)",105
"A241273","Ethylene brassylate (Musk NN)",191
"A241144","Linalool",199
"A241151","Linalool",71.9
"A241155","Linalool",70.8
"A241156","Linalool",54.2
"A241181","Linalool",30.4
"A241191","Linalool",212
"A241192","Linalool",32.5
"A241198","Linalool",72.2
"A241238","Linalool",903
"A241253","Linalool",34.7
"A241263","Linalool",270
"A241264","Linalool",161
"A241273","Linalool",29.3
"A241156","B-citronellol",226
"A241161","B-citronellol",149
"A241163","B-citronellol",41.5
"A241179","B-citronellol",34.7
