"Permethrin II","999046-03-6",0,0,0,0,52.9,151,0,0,0,0,0,0,0,53.4,77.6,0,8740,0,0,0,58.5,0,0,0,0
"Piperonyl butoxide","51-03-6",0,0,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Promecarb artifact [5-isopropyl-3-methylphenol]","3228-3-3",0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCPP","26248-87-3",276,105,76.8,355,298,170,116,0,151,178,382,6690,250,0,16200,258,104,209,0,551,0,311,0,413,312
"Thymol","89-83-8",0,0,0,17.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tonalide","1506-02-1",553,0,188,63.6,1550,60.8,149,2.32,96.6,323,276,967,3330,424,711,590,27,86.4,1150,188,256,65.8,3.13,0,106
"TPP","115-86-6",171,492,182,755,480,590,231,11.4,567,372,233,223,270,221,1490,774,0,44.7,1100,2030,95,183,51.6,122,582
"Tributyl phosphate","126-73-8",0,0,0,62.1,0,0,0,0,0,48.5,40.3,59.5,0,0,0,142,0,0,0,0,0,0,0,0,0
"Triethyl phosphate","78-40-0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0
"Tris(2-ethylhexyl) phosphate","78-42-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0
