"Chemical","CASRN","SK4000WB","SK4002WB","SK4003WB","SK4004WB","SK4005WB","SK4006WB","SK4007WB","SK4008WB","SK4009WB","SK4010WB","SK4011WB","SK4014WB","SK4016WB","SK4017WB","SK4018WB","SK4019WB","SK4020WB","SK4021WB","SK4022WB","SK4023WB","SK4024WB","SK4025WB","SK4026WB","SK4027WB","SK4028WB","SK4029WB","SK4030WB","SK4031WB","SK4033WB","SK4034WB"
"Fipronil","120068-37-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040,0,0,0,0
"Fluoranthene","206-44-0",0,0,0,0,0,0,0,0,63.2,0,0,0,0,0,0,0,0,0,0,0,0,57.4,0,0,0,0,0,0,0,0
"Fluorene","86-73-7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0
"Galaxolide","1222-05-5",3030,168,1340,579,676,241,927,310,1530,4120,474,6590,956,0,6420,0,352,0,0,839,3320,383,1840,3730,1010,424,234,620,0,1360
"Geraniol","106-24-1",0,0,0,0,0,0,0,0,0,1070,0,0,0,0,0,0,0,0,0,0,3070,0,0,0,0,0,0,0,0,0
"Lilial","80-54-6",891,0,292,0,529,241,1480,232,0,0,0,1760,1470,0,512,0,0,0,0,251,3580,3590,0,3220,0,0,0,0,0,150
"Linalool","78-70-6",258,0,0,325,1320,0,618,0,0,912,92.4,0,0,0,0,0,0,426,0,303,1660,658,170,876,0,0,0,0,0,531
"Methoprene I","40596-69-8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4240,0,0,0,0
"Naphthalene","91-20-3",39.2,88.7,94.8,27.7,60.3,4.01,4.94,13.3,0,54.4,2300,51.8,0,0,12.1,20.2,59.1,83.8,63.2,2.6,94.6,104,49.5,35.3,0,3.53,0,71.2,0.826,8.17
"P-Cymene","99-87-6",0,191,267,386,647,107,198,111,0,250,170,329,765,88.2,186,149,112,500,0,0,0,71.7,0,101,0,494,234,55.5,57.8,150
"P-Dichlorobenzene","106-46-7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,0,0,0,0,0,0,0,0,0,0,0,0
"P-Xylene","106-42-3",0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PBDE 49","243982-82-3",160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PBDE 99","60348-60-9",267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pentadecan-15-olide","106-02-5",0,0,0,22900,2210,0,1610,0,24000,7940,0,0,0,11200,0,24500,0,0,19800,5450,0,3470,4240,0,0,0,0,41600,0,10500
"Permethrin","52645-53-1",0,146,0,0,250,521,198,0,0,0,0,3060,0,0,0,416,3680,0,0,0,0,2390,65,97.7,443,0,0,0,41.3,0
"Phenanthrene","85-01-8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,693,0,0,0,17.6,0,0,0,0
"Piperonyl butoxide","51-03-6",0,0,0,0,0,0,0,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pyrene","129-00-0",0,0,0,0,0,0,0,0,63.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Retene","483-65-8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.1,0
"Thymol","89-83-8",0,0,0,0,0,0,80.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Toluene","108-88-3",0,0,0,0,0,0,0,916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tonalide","21145-77-7",74,0,0,133,32.4,0,853,8.85,1310,412,28,776,60.3,0,624,0,0,0,81.2,0,1660,72.9,50.9,685,0,0,26,83.2,0,89.9
"TPP","115-86-6",152,104,2670,145,0,241,173,221,1200,0,107,0,721,603,382,0,0,0,0,0,230,167,0,1210,0,0,0,111,231,163
"Trichloroethylene","79-01-6",0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Triethyl phosphate","78-40-0",0,0,0,157,0,0,0,0,0,0,0,0,0,971,0,0,0,0,0,0,0,0,0,0,48.3,0,0,0,0,109
"Tris(2-chloroisopropyl)phosphate","13674-84-5",2140,348,608,470,1620,111,408,487,3380,1260,0,565,0,176,1490,171,0,529,2350,41.5,2690,1320,86.3,302,121,424,0,777,215,150
