ParameterID,Classification
300283,Polychlorinated Biphenyl
300284,Polychlorinated Biphenyl
300285,Polychlorinated Biphenyl
300286,Polychlorinated Biphenyl
300287,Polychlorinated Biphenyl
300288,Polychlorinated Biphenyl
300289,Polychlorinated Biphenyl
300291,Polycyclic Aromatic Hydrocarbon (PAH)
300293,Polycyclic Aromatic Hydrocarbon (PAH)
300294,Oxygenated PAH
300295,Oxygenated PAH
300296,Pesticide
300297,Oxygenated PAH
300298,Oxygenated PAH
300299,Oxygenated PAH
300301,Oxygenated PAH
300302,Oxygenated PAH
300303,Oxygenated PAH
300304,Oxygenated PAH
300305,Oxygenated PAH
300306,Oxygenated PAH
300307,Oxygenated PAH
300309,Oxygenated PAH
300312,Polycyclic Aromatic Hydrocarbon (PAH)
300315,Polycyclic Aromatic Hydrocarbon (PAH)
300316,Polycyclic Aromatic Hydrocarbon (PAH)
300317,Polycyclic Aromatic Hydrocarbon (PAH)
300318,Polycyclic Aromatic Hydrocarbon (PAH)
300327,Polycyclic Aromatic Hydrocarbon (PAH)
300328,Polycyclic Aromatic Hydrocarbon (PAH)
300329,Polycyclic Aromatic Hydrocarbon (PAH)
300330,Polycyclic Aromatic Hydrocarbon (PAH)
300333,Polycyclic Aromatic Hydrocarbon (PAH)
300334,Polycyclic Aromatic Hydrocarbon (PAH)
300335,Polycyclic Aromatic Hydrocarbon (PAH)
300336,Polycyclic Aromatic Hydrocarbon (PAH)
300337,Oxygenated PAH
300347,Polycyclic Aromatic Hydrocarbon (PAH)
300348,Polycyclic Aromatic Hydrocarbon (PAH)
300349,Polycyclic Aromatic Hydrocarbon (PAH)
300374,Polycyclic Aromatic Hydrocarbon (PAH)
300377,Polycyclic Aromatic Hydrocarbon (PAH)
300378,Polycyclic Aromatic Hydrocarbon (PAH)
300379,Polychlorinated Biphenyl
300386,Polycyclic Aromatic Hydrocarbon (PAH)
300387,Polycyclic Aromatic Hydrocarbon (PAH)
300388,Personal Care
300389,Polycyclic Aromatic Hydrocarbon (PAH)
300390,Polycyclic Aromatic Hydrocarbon (PAH)
300391,Polycyclic Aromatic Hydrocarbon (PAH)
300392,Polycyclic Aromatic Hydrocarbon (PAH)
300406,Polycyclic Aromatic Hydrocarbon (PAH)
300409,Polycyclic Aromatic Hydrocarbon (PAH)
300432,Polychlorinated Biphenyl
300433,Polychlorinated Biphenyl
300435,Polychlorinated Biphenyl
300436,Polychlorinated Biphenyl
300437,Polychlorinated Biphenyl
300438,Polychlorinated Biphenyl
300440,Polychlorinated Biphenyl
300441,Polychlorinated Biphenyl
300442,Polychlorinated Biphenyl
300503,Polycyclic Aromatic Hydrocarbon (PAH)
