ParameterID,Classification
301736,Polycyclic Aromatic Hydrocarbon (PAH)
301737,Polycyclic Aromatic Hydrocarbon (PAH)
301739,Polycyclic Aromatic Hydrocarbon (PAH)
301740,Polycyclic Aromatic Hydrocarbon (PAH)
301741,Polycyclic Aromatic Hydrocarbon (PAH)
301742,Polycyclic Aromatic Hydrocarbon (PAH)
301743,Pesticide
301746,Pesticide
301747,Pesticide
301748,Pesticide
301749,Pesticide
301750,Pesticide
301751,Pesticide
301752,Pesticide
301753,Pesticide
301754,Pesticide
301755,Pesticide
301756,Pesticide
301757,Pesticide
301758,Pesticide
301763,Dioxins and Furans
301769,Pesticide
301770,Pesticide
301771,Pesticide
301772,Pesticide
301773,Pesticide
301774,Pesticide
301775,Pesticide
301776,Pesticide
301777,Pesticide
301778,Pesticide
301779,Pesticide
301780,Pesticide
301781,Pesticide
301782,Pesticide
301783,Pesticide
301784,Pesticide
301785,Pesticide
301786,Pesticide
301787,Pesticide
301788,Pesticide
301789,Pesticide
301790,Pesticide
301791,Pesticide
301792,Pesticide
301793,Pesticide
301794,Pesticide
301795,Pesticide
301796,Pesticide
301797,Pesticide
301798,Pesticide
301799,Pesticide
301800,Pesticide
301830,Polycyclic Aromatic Hydrocarbon (PAH)
301831,Pesticide
301832,Pesticide
301833,Pesticide
301971,Flame Retardant
302066,Flame Retardant
302067,Flame Retardant
302068,Flame Retardant
302069,Flame Retardant
302070,Flame Retardant
302071,Flame Retardant
302072,Flame Retardant
302073,Flame Retardant
302074,Flame Retardant
302075,Flame Retardant
302076,Flame Retardant
302077,Flame Retardant
302078,Flame Retardant
302079,Flame Retardant
302080,Flame Retardant
302081,Flame Retardant
302082,Flame Retardant
302083,Flame Retardant
302084,Flame Retardant
302085,Flame Retardant
302086,Flame Retardant
302088,Flame Retardant
302089,Flame Retardant
302090,Flame Retardant
302091,Flame Retardant
302092,Flame Retardant
302095,Polycyclic Aromatic Hydrocarbon (PAH)
302096,Polycyclic Aromatic Hydrocarbon (PAH)
302097,Polycyclic Aromatic Hydrocarbon (PAH)
302100,Polycyclic Aromatic Hydrocarbon (PAH)
302101,Polycyclic Aromatic Hydrocarbon (PAH)
302167,Flame Retardant
302170,Flame Retardant
302171,Flame Retardant
302172,Flame Retardant
302298,Polycyclic Aromatic Hydrocarbon (PAH)
302299,Polycyclic Aromatic Hydrocarbon (PAH)
302300,Polycyclic Aromatic Hydrocarbon (PAH)
302301,Polycyclic Aromatic Hydrocarbon (PAH)
302503,Flame Retardant
302555,Flame Retardant
302556,Flame Retardant
302557,Flame Retardant
302558,Flame Retardant
302559,Flame Retardant
302560,Flame Retardant
302561,Flame Retardant
302562,Flame Retardant
302563,Flame Retardant
302564,Flame Retardant
302565,Flame Retardant
302567,Flame Retardant
302568,Flame Retardant
302569,Flame Retardant
302570,Flame Retardant
302571,Flame Retardant
302572,Flame Retardant
302573,Flame Retardant
302574,Flame Retardant
302575,Flame Retardant
302576,Flame Retardant
302577,Flame Retardant
302578,Flame Retardant
302579,Flame Retardant
302580,Flame Retardant
302581,Flame Retardant
302582,Flame Retardant
302584,Flame Retardant
302586,Flame Retardant
302587,Flame Retardant
302588,Flame Retardant
302589,Flame Retardant
302590,Flame Retardant
302591,Flame Retardant
302592,Flame Retardant
302593,Flame Retardant
302600,Chemicals in Commerce
302601,Chemicals in Commerce
302602,Chemicals in Commerce
302603,Chemicals in Commerce
302604,Chemicals in Commerce
302605,Chemicals in Commerce
302606,Chemicals in Commerce
302607,Chemicals in Commerce
302608,Chemicals in Commerce
302610,Flame Retardant
302612,Flame Retardant
302613,Flame Retardant
302615,Flame Retardant
302616,Flame Retardant
302617,Flame Retardant
302623,Flame Retardant
302626,Flame Retardant
302627,Flame Retardant
302635,Flame Retardant
302636,Flame Retardant
302637,Flame Retardant
302638,Flame Retardant
302639,Chemicals in Commerce
302640,Chemicals in Commerce
302641,Chemicals in Commerce
302642,Chemicals in Commerce
302643,Chemicals in Commerce
302645,Chemicals in Commerce
302647,Chemicals in Commerce
302648,Chemicals in Commerce
302649,Chemicals in Commerce
302650,Chemicals in Commerce
302651,Chemicals in Commerce
302652,Chemicals in Commerce
302653,Chemicals in Commerce
302654,Chemicals in Commerce
302655,Chemicals in Commerce
302661,Personal Care
302662,Personal Care
302663,Flame Retardant
302664,Flame Retardant
302665,Flame Retardant
302666,Flame Retardant
302667,Flame Retardant
302668,Flame Retardant
302669,Flame Retardant
302670,Flame Retardant
302671,Flame Retardant
302672,Flame Retardant
302673,Flame Retardant
302674,Flame Retardant
302675,Flame Retardant
302676,Flame Retardant
302677,Flame Retardant
302678,Flame Retardant
302679,Flame Retardant
302680,Flame Retardant
302681,Flame Retardant
302682,Flame Retardant
302683,Flame Retardant
302684,Flame Retardant
302685,Flame Retardant
302686,Flame Retardant
302706,Dioxins and Furans
302707,Dioxins and Furans
302708,Dioxins and Furans
302709,Dioxins and Furans
302710,Dioxins and Furans
302711,Dioxins and Furans
302712,Dioxins and Furans
302713,Dioxins and Furans
302714,Dioxins and Furans
302715,Dioxins and Furans
302716,Dioxins and Furans
302717,Dioxins and Furans
302718,Dioxins and Furans
302719,Dioxins and Furans
302720,Dioxins and Furans
302721,Dioxins and Furans
302722,Dioxins and Furans
302723,Dioxins and Furans
302724,Dioxins and Furans
302725,Dioxins and Furans
302726,Dioxins and Furans
302727,Dioxins and Furans
302728,Dioxins and Furans
302729,Dioxins and Furans
302730,Dioxins and Furans
302731,Dioxins and Furans
302732,Dioxins and Furans
302733,Dioxins and Furans
302734,Dioxins and Furans
302735,Dioxins and Furans
302736,Dioxins and Furans
302737,Dioxins and Furans
302738,Dioxins and Furans
302739,Chemicals in Commerce
302740,Chemicals in Commerce
302741,Dioxins and Furans
302742,Dioxins and Furans
302751,Dioxins and Furans
302752,Dioxins and Furans
302753,Dioxins and Furans
302754,Dioxins and Furans
302755,Dioxins and Furans
302756,Dioxins and Furans
302757,Dioxins and Furans
302758,Dioxins and Furans
302759,Dioxins and Furans
302760,Dioxins and Furans
302761,Dioxins and Furans
302762,Dioxins and Furans
302763,Chemicals in Commerce
302764,Chemicals in Commerce
302765,Chemicals in Commerce
302766,Chemicals in Commerce
302767,Chemicals in Commerce
302768,Chemicals in Commerce
302769,Chemicals in Commerce
302770,Chemicals in Commerce
302771,Chemicals in Commerce
302772,Chemicals in Commerce
302773,Chemicals in Commerce
302774,Chemicals in Commerce
302776,Chemicals in Commerce
302849,Flame Retardant
302850,Personal Care
302325,Flame Retardant
