ParameterID,ChemicalUrl,OralRfDAssessment,InhalationRfCAssessment,CarcinogenicityAssessment
850,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=457,No,No,Yes (Last revised: 12-01-1990)
856,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=70,Yes (Last revised: 11-18-2011),Yes (Last revised: 11-18-2011),Yes (Last revised: 11-18-2011)
857,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=74,Yes (Last revised: 10-01-1990),No,Yes (Last revised: 08-22-1988)
858,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=75,Yes (Last revised: 01-31-1987),No,Yes (Last revised: 12-01-1993)
864,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=251,Yes (Last revised: 10-01-1992),No,No
866,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=298,Yes (Last revised: 09-26-1988),No,No
867,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=425,Yes (Last revised: 11-01-1992),No,No
885,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=607,No,No,Yes (Last revised: 01-01-1993)
889,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=486,Discussion (Last revised: 12-23-2005),Yes (Last revised: 12-23-2005),Yes (Last revised: 12-23-2005)
892,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=37,No,No,Yes (Last revised: 01-31-1987)
893,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=177,No,No,Yes (Last revised: 03-31-1987)
894,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=42,No,No,Yes (Last revised: 01-31-1987)
895,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=45,No,No,Yes (Last revised: 01-31-1987)
896,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=178,No,No,Yes (Last revised: 03-31-1987)
897,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=179,No,No,Yes (Last revised: 03-01-1988)
900,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=81,No,No,Yes (Last revised: 01-31-1987)
908,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=181,Yes (Last revised: 03-31-1987),No,No
912,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=509,No,Message (Last revised: 10-01-1990),No
917,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=327,No (Last revised: 08-22-1988),No,Yes (Last revised: 10-01-1993)
919,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=174,Yes (Last revised: 03-31-1987),No,No
941,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=462,Yes (Last revised: 01-01-1993),No,No
942,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
943,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
944,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
945,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
946,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
947,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
950,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=85,Yes (Last revised: 01-31-1987),No,Yes (Last revised: 11-01-1992)
952,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=254,Yes (Last revised: 09-30-1987),No,No
953,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=86,Yes (Last revised: 09-30-2010),Discussion (Last revised: 09-30-2010),Yes (Last revised: 09-30-2010)
956,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=185,Yes (Last revised: 03-31-1987),No,No
965,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=472,Yes (Last revised: 06-01-1991),No,Yes (Last revised: 03-01-1991)
973,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=99,Yes (Last revised: 12-01-1991),No,Yes (Last revised: 06-01-1989)
974,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=263,Yes (Last revised: 09-01-1993),No,No
986,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=550,Yes (Last revised: 10-01-1992),No,No
987,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=103,Yes (Last revised: 01-31-1987),No,No
988,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=104,Yes (Last revised: 01-31-1987),Yes (Last revised: 11-01-1992),No
992,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=330,Yes (Last revised: 09-07-1988),No,No
1001,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=264,Yes (Last revised: 08-22-1988),No,No
1002,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=3,Yes (Last revised: 11-01-1993),No,Yes (Last revised: 08-22-1988)
1005,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=105,Yes (Last revised: 01-31-1987),No,No
1008,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=285,Yes (Last revised: 09-26-1988),No,No
1014,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=106,Yes (Last revised: 02-10-2012),Yes (Last revised: 02-10-2012),Yes (Last revised: 02-10-2012)
1016,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=109,Yes (Last revised: 01-31-1987),No,No
1028,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=199,Yes (Last revised: 09-28-2011),Yes (Last revised: 09-28-2011),Yes (Last revised: 09-28-2011)
1029,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=120,Yes (Last revised: 01-31-1987),No,No
1034,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=268,Yes (Last revised: 07-01-1989),No,Yes (Last revised: 08-22-1988)
1049,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=259,No,No,Withdrawn (Last revised: 01-01-1989)
1051,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=201,Yes (Last revised: 03-31-1987),No,No
1052,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=512,No,Yes (Last revised: 10-01-1990),No
1053,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=1001,Yes (Last revised: 08-07-2000),Yes (Last revised: 08-07-2000),Yes (Last revised: 08-07-2000)
1059,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=270,Yes (Last revised: 02-21-2003),Yes (Last revised: 02-21-2003),Yes (Last revised: 02-21-2003)
1062,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=426,Yes (Last revised: 08-03-2005),Discussion (Last revised: 08-03-2005),Yes (Last revised: 08-03-2005)
1066,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=193,Yes (Last revised: 09-30-2010),Discussion (Last revised: 09-30-2010),Yes (Last revised: 09-30-2010)
1252,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=332,Yes (Last revised: 09-07-1988),No,No
1257,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=197,Yes (Last revised: 09-28-2007),Yes (Last revised: 09-28-2007),Yes (Last revised: 09-28-2007)
1258,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=198,Yes (Last revised: 09-26-1988),No,Yes (Last revised: 03-31-1987)
1264,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=13,Yes (Last revised: 08-27-2013),Discussion (Last revised: 08-27-2013),Yes (Last revised: 08-27-2013)
1265,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=357,Yes (Last revised: 09-07-1988),Discussion (Last revised: 09-01-1994),No
1702,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=86,Yes (Last revised: 09-30-2010),Discussion (Last revised: 09-30-2010),Yes (Last revised: 09-30-2010)
1703,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=86,Yes (Last revised: 09-30-2010),Discussion (Last revised: 09-30-2010),Yes (Last revised: 09-30-2010)
1704,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=86,Yes (Last revised: 09-30-2010),Discussion (Last revised: 09-30-2010),Yes (Last revised: 09-30-2010)
1911,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=153,Yes (Last revised: 03-31-1987),No,No
1912,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=183,Yes (Last revised: 03-31-1987),No,Yes (Last revised: 08-22-1988)
1913,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=155,Yes (Last revised: 03-31-1987),No,No
1914,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=57,Yes (Last revised: 01-31-1987),No,Yes (Last revised: 10-01-1989)
1915,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=262,Yes (Last revised: 09-07-1988),No,No
1921,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=78,Yes (Last revised: 01-31-1987),No,No
1924,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=1002,Yes (Last revised: 06-06-2001),Discussion (Last revised: 06-06-2001),Yes (Last revised: 06-06-2001)
1926,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=76,Yes (Last revised: 05-01-1991),No,No
1974,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
1991,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=145,Withdrawn (Last revised: 07-01-1992),No,No
1999,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=306,Yes (Last revised: 08-01-1997),Yes (Last revised: 08-01-1997),Yes (Last revised: 08-01-1997)
2004,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=655,Yes (Last revised: 09-30-2011),Discussion (Last revised: 09-30-2011),Yes (Last revised: 09-30-2011)
2007,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=654,Yes (Last revised: 09-11-2003),Discussion (Last revised: 09-11-2003),Yes (Last revised: 09-11-2003)
2014,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=464,No,No,Yes (Last revised: 06-01-1991)
2015,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=423,Yes (Last revised: 09-01-1990),No,No
2018,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=140,Yes (Last revised: 03-31-1987),No,Yes (Last revised: 03-01-1991)
2020,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=49,No,Message (Last revised: 11-01-1991),Yes (Last revised: 01-31-1987)
2026,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=228,No,Withdrawn (Last revised: 01-01-1991),No
2030,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=525,No,Yes (Last revised: 05-01-1991),No
2031,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=520,No,Yes (Last revised: 04-01-1991),No
300214,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=1009,Yes (Last revised: 06-30-2008),Discussion (Last revised: 06-30-2008),Yes (Last revised: 06-30-2008)
300215,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=1008,Yes (Last revised: 06-30-2008),Discussion (Last revised: 06-30-2008),Yes (Last revised: 06-30-2008)
300226,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=356,Yes (Last revised: 09-26-1988),No,No
300236,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=342,Yes (Last revised: 09-26-1988),No,No
300237,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=333,Yes (Last revised: 08-22-1988),No,No
300247,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=186,Yes (Last revised: 03-01-1988),No,No
300250,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=291,Yes (Last revised: 06-30-1988),No,No
300251,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=250,Yes (Last revised: 09-30-1987),No,No
300266,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
300267,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
300268,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
300269,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
300270,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
300271,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
300272,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
300273,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
300274,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
300275,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
300276,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
300277,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
300278,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
300279,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
300280,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
300281,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
300282,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
300283,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
300284,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
300285,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
300286,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
300288,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
300289,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
300379,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
300428,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=453,No,No,Yes (Last revised: 03-01-1994)
300432,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
300433,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
300435,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
300436,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
300437,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
300438,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
300440,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
300441,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
300442,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
300504,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=453,No,No,Yes (Last revised: 03-01-1994)
300515,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=436,Yes (Last revised: 09-17-1998),Yes (Last revised: 09-17-1998),Yes (Last revised: 09-17-1998)
300516,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=436,Yes (Last revised: 09-17-1998),Yes (Last revised: 09-17-1998),Yes (Last revised: 09-17-1998)
300517,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=1006,Yes (Last revised: 12-22-2003),Discussion (Last revised: 12-22-2003),Yes (Last revised: 12-22-2003)
300518,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=1006,Yes (Last revised: 12-22-2003),Discussion (Last revised: 12-22-2003),Yes (Last revised: 12-22-2003)
300525,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=443,No,No,Yes (Last revised: 01-01-1991)
300526,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=443,No,No,Yes (Last revised: 01-01-1991)
300527,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=442,Yes (Last revised: 11-01-1990),No,No
300528,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=442,Yes (Last revised: 11-01-1990),No,No
300529,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=435,Yes (Last revised: 11-01-1990),No,Yes (Last revised: 12-01-1990)
300530,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=435,Yes (Last revised: 11-01-1990),No,Yes (Last revised: 12-01-1990)
300533,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=459,No,No,Yes (Last revised: 12-01-1990)
300541,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=434,Yes (Last revised: 09-01-1990),No,Yes (Last revised: 01-01-1991)
300542,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=434,Yes (Last revised: 09-01-1990),No,Yes (Last revised: 01-01-1991)
300551,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=444,Yes (Last revised: 09-01-1990),No,Yes (Last revised: 12-01-1990)
300552,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=444,Yes (Last revised: 09-01-1990),No,Yes (Last revised: 12-01-1990)
300553,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=445,Yes (Last revised: 09-01-1990),No,Yes (Last revised: 09-01-1990)
300554,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=445,Yes (Last revised: 09-01-1990),No,Yes (Last revised: 09-01-1990)
300559,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=454,No,No (Last revised: 09-01-1994),Yes (Last revised: 03-01-1994)
300560,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=454,No,No (Last revised: 09-01-1994),Yes (Last revised: 03-01-1994)
300561,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=455,No,No,Yes (Last revised: 12-01-1990)
300562,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=455,No,No,Yes (Last revised: 12-01-1990)
300565,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=453,No,No,Yes (Last revised: 03-01-1994)
300566,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=453,No,No,Yes (Last revised: 03-01-1994)
300567,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=452,No,No,Yes (Last revised: 03-01-1994)
300568,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=452,No,No,Yes (Last revised: 03-01-1994)
300571,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=136,Yes (Last revised: 01-19-2017),Yes (Last revised: 01-19-2017),Yes (Last revised: 01-19-2017)
300572,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=136,Yes (Last revised: 01-19-2017),Yes (Last revised: 01-19-2017),Yes (Last revised: 01-19-2017)
300573,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=461,No,No,Yes (Last revised: 12-01-1990)
300574,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=461,No,No,Yes (Last revised: 12-01-1990)
300575,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=457,No,No,Yes (Last revised: 12-01-1990)
300576,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=457,No,No,Yes (Last revised: 12-01-1990)
300577,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=456,No,No,Yes (Last revised: 12-01-1990)
300578,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=456,No,No,Yes (Last revised: 12-01-1990)
300582,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=459,No,No,Yes (Last revised: 12-01-1990)
300592,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=356,Yes (Last revised: 09-26-1988),No,No
300593,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=356,Yes (Last revised: 09-26-1988),No,No
300594,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=356,Yes (Last revised: 09-26-1988),No,No
300604,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=324,No,No,Withdrawn (Last revised: 04-01-1992)
300629,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
300636,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=188,Yes (Last revised: 03-31-1987),No,No
300640,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=253,Yes (Last revised: 09-30-1987),No,No
300698,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
300699,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
300700,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
300701,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
300703,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
300704,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
300705,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
300707,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
300708,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
300715,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=1008,Yes (Last revised: 06-30-2008),Discussion (Last revised: 06-30-2008),Yes (Last revised: 06-30-2008)
300716,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=1009,Yes (Last revised: 06-30-2008),Discussion (Last revised: 06-30-2008),Yes (Last revised: 06-30-2008)
