ParameterID,ChemicalUrl,OralRfDAssessment,InhalationRfCAssessment,CarcinogenicityAssessment
286,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=244,No,No,Yes (Last revised: 09-30-1987)
290,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=522,No,No,Yes (Last revised: 03-01-1991)
291,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=137,No,Message (Last revised: 10-01-1991),Yes (Last revised: 03-31-1987)
293,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=14,Yes (Last revised: 01-31-1987),No,Yes (Last revised: 09-07-1988)
297,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=410,Yes (Last revised: 08-05-2004),Discussion (Last revised: 08-05-2004),Yes (Last revised: 08-05-2004)
301,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=1020,Yes (Last revised: 09-30-2009),Yes (Last revised: 09-30-2009),Yes (Last revised: 09-30-2009)
302,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=532,No,No,Yes (Last revised: 03-01-1991)
303,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=213,Yes (Last revised: 09-30-1987),No,Yes (Last revised: 02-01-1993)
304,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=214,Yes (Last revised: 09-30-1987),Discussion (Last revised: 12-01-1993),Yes (Last revised: 09-01-1990)
305,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=15,Yes (Last revised: 09-26-1988),Yes (Last revised: 04-01-1992),Yes (Last revised: 06-01-1989)
312,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=215,Yes (Last revised: 10-01-1994),No,No
349,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=141,Yes (Last revised: 10-01-1989),No,Yes (Last revised: 03-31-1987)
351,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=216,Yes (Last revised: 09-30-1987),No,No
352,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=18,Yes (Last revised: 03-01-1989),No,No
353,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=19,Yes (Last revised: 01-31-1987),Message (Last revised: 11-01-1991),No
355,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=218,Yes (Last revised: 09-30-1987),No,No
357,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=217,Yes (Last revised: 09-30-1987),Yes (Last revised: 08-01-1995),No
358,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=20,Yes (Last revised: 03-31-2010),Yes (Last revised: 03-31-2010),Yes (Last revised: 03-31-2010)
362,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=22,Yes (Last revised: 01-31-1987),No,No
366,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=304,Yes (Last revised: 09-15-2000),Discussion (Last revised: 09-15-2000),Yes (Last revised: 09-15-2000)
367,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=23,Yes (Last revised: 01-31-1987),No,No
375,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=399,Yes (Last revised: 08-01-1989),No,Yes (Last revised: 11-01-1990)
377,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=400,Yes (Last revised: 12-01-1989),No,No
378,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=222,Yes (Last revised: 09-30-1987),No,Yes (Last revised: 01-01-1992)
379,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=523,No,Yes (Last revised: 04-01-1991),No
380,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=25,Yes (Last revised: 10-19-2001),No,Yes (Last revised: 10-19-2001)
381,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=1003,Discussion (Last revised: 07-17-2001),Yes (Last revised: 07-17-2001),Yes (Last revised: 07-17-2001)
384,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=1021,Message (Last revised: 09-30-2010),Yes (Last revised: 09-30-2010),Yes (Last revised: 09-30-2010)
386,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=143,Yes (Last revised: 03-01-1988),No,No
388,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=26,No (Last revised: 03-01-1988),No,No
390,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=455,No,No,Yes (Last revised: 12-01-1990)
392,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=418,Yes (Last revised: 09-30-2010),Discussion (Last revised: 09-30-2010),Yes (Last revised: 09-30-2010)
399,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=368,No,No,Yes (Last revised: 09-07-1988)
403,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=30,No,Message (Last revised: 04-01-1992),No
406,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=31,Yes (Last revised: 09-28-2010),No,Yes (Last revised: 03-01-1991)
411,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=219,Yes (Last revised: 09-30-1987),No,No
412,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=682,No,Discussion (Last revised: 12-01-1993),No
413,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=146,Yes (Last revised: 08-22-1988),No,No
415,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=221,Yes (Last revised: 08-01-1994),No,No
420,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=163,No,No,Yes (Last revised: 03-31-1987)
422,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=36,Yes (Last revised: 01-31-1987),No,No
426,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=420,Yes (Last revised: 07-01-1992),No,Yes (Last revised: 08-01-1991)
429,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=38,Yes (Last revised: 01-31-1987),Message (Last revised: 10-01-1990),Yes (Last revised: 09-07-1988)
434,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=456,No,No,Yes (Last revised: 12-01-1990)
437,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=429,No,No,Yes (Last revised: 10-01-1990)
443,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=223,Yes (Last revised: 08-22-1988),No,No
446,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=40,Yes (Last revised: 01-31-1987),No,No
448,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=151,Yes (Last revised: 11-01-1993),Yes (Last revised: 06-01-1994),Yes (Last revised: 10-01-1989)
450,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=225,Yes (Last revised: 09-07-1988),No,Yes (Last revised: 09-07-1988)
462,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=226,Yes (Last revised: 09-30-1987),No,Yes (Last revised: 09-07-1988)
464,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=615,No,Message (Last revised: 11-01-1991),No
480,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=241,Yes (Last revised: 09-30-1987),No,No
481,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=444,Yes (Last revised: 09-01-1990),No,Yes (Last revised: 12-01-1990)
482,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=435,Yes (Last revised: 11-01-1990),No,Yes (Last revised: 12-01-1990)
484,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=54,Yes (Last revised: 08-22-1988),No,No
