ParameterID,ClientFormalName,COCID,COCNum,COCRecvDate,ReportDate,SampleName,AlternateName,PureSampleName,SampleNumber,SampledBy,SampledDate,LocationName,SampleExtComment,Matrix,TestTempReportName,TestTempName,TestTempMethodRef,WorkAreaName,ParameterName,Result,Flag,Units
300243,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:14:02 PM,,,PAH/PEST T=0 #3,A160310,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,Ethoprophos,205,,ng/mL
812,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:14:02 PM,,,PAH/PEST T=0 #3,A160310,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,Lindane,186,,ng/mL
300240,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:14:02 PM,,,PAH/PEST T=0 #3,A160310,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,Pendimethalin,188,,ng/mL
172,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:14:02 PM,,,PAH/PEST T=0 #4,A160311,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,"4,4'-DDT",255,,ng/mL
224,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:14:02 PM,,,PAH/PEST T=0 #4,A160311,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,Alachlor,194,,ng/mL
300237,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:14:02 PM,,,PAH/PEST T=0 #4,A160311,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,Bifenthrin,303,,ng/mL
432,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:14:02 PM,,,PAH/PEST T=0 #4,A160311,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,Diazinon,229,,ng/mL
300631,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:14:02 PM,,,PAH/PEST T=0 #4,A160311,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,Esfenvalerate,293,,ng/mL
300243,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:14:02 PM,,,PAH/PEST T=0 #4,A160311,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,Ethoprophos,243,,ng/mL
812,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:14:02 PM,,,PAH/PEST T=0 #4,A160311,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,Lindane,201,,ng/mL
300240,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:14:02 PM,,,PAH/PEST T=0 #4,A160311,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,Pendimethalin,213,,ng/mL
172,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:14:02 PM,,,PAH/PEST T=2 day -20C #1,A160312,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,"4,4'-DDT",172,,ng/mL
224,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:14:02 PM,,,PAH/PEST T=2 day -20C #1,A160312,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,Alachlor,283,,ng/mL
300237,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:14:02 PM,,,PAH/PEST T=2 day -20C #1,A160312,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,Bifenthrin,182,,ng/mL
432,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:14:02 PM,,,PAH/PEST T=2 day -20C #1,A160312,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,Diazinon,231,,ng/mL
300631,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:14:02 PM,,,PAH/PEST T=2 day -20C #1,A160312,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,Esfenvalerate,96.1,,ng/mL
300243,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:14:02 PM,,,PAH/PEST T=2 day -20C #1,A160312,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,Ethoprophos,207,,ng/mL
812,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:14:02 PM,,,PAH/PEST T=2 day -20C #1,A160312,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,Lindane,217,,ng/mL
300240,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:14:02 PM,,,PAH/PEST T=2 day -20C #1,A160312,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,Pendimethalin,218,,ng/mL
172,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:14:02 PM,,,PAH/PEST T=2 days -20C #2,A160313,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,"4,4'-DDT",214,,ng/mL
224,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:14:02 PM,,,PAH/PEST T=2 days -20C #2,A160313,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,Alachlor,303,,ng/mL
300237,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:14:02 PM,,,PAH/PEST T=2 days -20C #2,A160313,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,Bifenthrin,193,,ng/mL
432,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:14:02 PM,,,PAH/PEST T=2 days -20C #2,A160313,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,Diazinon,245,,ng/mL
300631,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:14:02 PM,,,PAH/PEST T=2 days -20C #2,A160313,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,Esfenvalerate,109,,ng/mL
300243,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:14:02 PM,,,PAH/PEST T=2 days -20C #2,A160313,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,Ethoprophos,223,,ng/mL
812,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:14:02 PM,,,PAH/PEST T=2 days -20C #2,A160313,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,Lindane,229,,ng/mL
300240,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:14:02 PM,,,PAH/PEST T=2 days -20C #2,A160313,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,Pendimethalin,244,,ng/mL
172,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:14:02 PM,,,PAH/PEST T=2 days -20C #3,A160314,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,"4,4'-DDT",168,,ng/mL
224,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:14:02 PM,,,PAH/PEST T=2 days -20C #3,A160314,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,Alachlor,335,,ng/mL
300237,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:14:02 PM,,,PAH/PEST T=2 days -20C #3,A160314,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,Bifenthrin,237,,ng/mL
432,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:14:02 PM,,,PAH/PEST T=2 days -20C #3,A160314,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,Diazinon,304,,ng/mL
300631,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:14:02 PM,,,PAH/PEST T=2 days -20C #3,A160314,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,Esfenvalerate,153,,ng/mL
300243,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:14:02 PM,,,PAH/PEST T=2 days -20C #3,A160314,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,Ethoprophos,265,,ng/mL
812,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:14:02 PM,,,PAH/PEST T=2 days -20C #3,A160314,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,Lindane,266,,ng/mL
300240,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:14:02 PM,,,PAH/PEST T=2 days -20C #3,A160314,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,Pendimethalin,261,,ng/mL
172,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:14:02 PM,,,PAH/PEST T=2 days -20C #4,A160315,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,"4,4'-DDT",145,,ng/mL
224,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:14:02 PM,,,PAH/PEST T=2 days -20C #4,A160315,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,Alachlor,300,,ng/mL
300237,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:14:02 PM,,,PAH/PEST T=2 days -20C #4,A160315,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,Bifenthrin,215,,ng/mL
432,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:14:02 PM,,,PAH/PEST T=2 days -20C #4,A160315,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,Diazinon,258,,ng/mL
300631,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:14:02 PM,,,PAH/PEST T=2 days -20C #4,A160315,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,Esfenvalerate,137,,ng/mL
300243,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:14:02 PM,,,PAH/PEST T=2 days -20C #4,A160315,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,Ethoprophos,225,,ng/mL
812,Food Safety and Environmental Stewardship Program,428,16APR13-02,4/13/2016 12:00:00 AM,8/16/2017 5:14:02 PM,,,PAH/PEST T=2 days -20C #4,A160315,,,,,,,GC-ECD-Pesticides-PE-WB 2015,SOP 404.05,Organics - Dilution,Lindane,226,,ng/mL
